HARP_NO,AR,Begin,End
6599,12552,2016-06-01 13:24:00,2016-06-09 21:24:00
259,11127,2010-11-15 16:24:00,2010-11-24 00:24:00
6566,12548,2016-05-19 00:24:00,2016-05-27 09:00:00
3344,11891,2013-11-02 09:36:00,2013-11-10 23:48:00
11,11063,2010-05-03 04:36:00,2010-05-04 00:24:00
7122,12677,2017-09-02 03:00:00,2017-09-11 04:12:00
1962,11554,2012-08-22 20:00:00,2012-08-31 04:48:00
1,11067,2010-05-01 00:00:00,2010-05-09 08:36:00
932,11313,2011-10-04 18:48:00,2011-10-13 12:36:00
3813,11996,2014-03-01 00:24:00,2014-03-10 17:00:00
6957,12640,2017-02-23 19:36:00,2017-02-25 12:12:00
2270,11630,2012-12-06 17:12:00,2012-12-15 02:48:00
3608,11953,2014-01-08 19:36:00,2014-01-17 09:00:00
6764,12593,2016-09-18 04:00:00,2016-09-18 23:48:00
2502,11681,2013-02-24 05:36:00,2013-03-04 16:48:00
6994,12653,2017-04-20 23:48:00,2017-04-29 08:24:00
5537,12338,2015-05-03 16:48:00,2015-05-12 03:00:00
2489,11673,2013-02-14 01:12:00,2013-02-22 22:24:00
2338,11641,2012-12-29 18:36:00,2013-01-07 03:12:00
107,11094,2010-07-28 12:36:00,2010-08-05 20:36:00
7240,12700,2018-02-26 00:48:00,2018-02-26 23:12:00
661,11234,2011-06-09 01:12:00,2011-06-17 09:12:00
3740,11977,2014-02-10 00:36:00,2014-02-18 15:12:00
5331,12299,2015-03-12 22:00:00,2015-03-13 20:24:00
1396,11419,2012-02-12 00:24:00,2012-02-21 08:48:00
2112,11590,2012-10-10 03:36:00,2012-10-16 21:48:00
4205,12082,2014-06-03 18:48:00,2014-06-12 03:36:00
3542,11937,2013-12-25 01:12:00,2014-01-02 09:24:00
5127,12277,2015-01-27 12:36:00,2015-02-05 10:12:00
3557,11938,2013-12-29 16:36:00,2013-12-30 12:24:00
2661,11724,2013-04-12 14:48:00,2013-04-21 04:36:00
338,11145,2011-01-08 09:12:00,2011-01-09 05:00:00
6361,12505,2016-02-15 10:36:00,2016-02-24 10:36:00
2852,11775,2013-06-12 17:24:00,2013-06-21 01:24:00
3580,11946,2014-01-04 05:00:00,2014-01-12 14:12:00
674,11237,2011-06-16 16:48:00,2011-06-25 01:24:00
5456,12325,2015-04-13 15:48:00,2015-04-22 06:00:00
3999,12036,2014-04-10 18:48:00,2014-04-19 03:00:00
7269,12713,2018-06-11 20:00:00,2018-06-20 04:12:00
4760,12201,2014-10-29 14:00:00,2014-11-06 22:36:00
853,11292,2011-09-10 20:48:00,2011-09-19 18:24:00
847,11289,2011-09-05 21:00:00,2011-09-14 10:12:00
6759,12592,2016-09-14 16:24:00,2016-09-23 00:48:00
6981,12647,2017-03-31 09:36:00,2017-04-01 05:24:00
700,11245,2011-07-06 20:00:00,2011-07-15 09:12:00
1750,11504,2012-06-08 11:36:00,2012-06-17 19:24:00
1744,11507,2012-06-07 14:00:00,2012-06-16 21:48:00
4166,12075,2014-05-23 10:12:00,2014-05-31 19:00:00
927,11312,2011-10-03 18:00:00,2011-10-12 05:00:00
10,11066,2010-05-02 23:12:00,2010-05-03 19:00:00
3437,11909,2013-11-26 18:24:00,2013-12-05 07:24:00
270,11128,2010-11-24 02:36:00,2010-12-02 10:36:00
2098,11585,2012-10-01 15:24:00,2012-10-10 06:48:00
5939,12410,2015-09-03 01:00:00,2015-09-04 00:00:00
1578,11460,2012-04-15 11:36:00,2012-04-24 02:24:00
5736,12377,2015-07-01 09:36:00,2015-07-02 10:48:00
2059,11579,2012-09-23 21:24:00,2012-10-02 16:00:00
12,11068,2010-05-03 05:12:00,2010-05-11 13:24:00
514,11196,2011-04-18 13:12:00,2011-04-27 03:12:00
3804,11991,2014-02-25 07:00:00,2014-03-06 13:48:00
2,11064,2010-05-01 00:00:00,2010-05-01 20:12:00
3192,11847,2013-09-17 00:36:00,2013-09-26 06:48:00
4616,12178,2014-09-27 02:36:00,2014-10-05 11:00:00
2501,11682,2013-02-23 20:00:00,2013-03-05 01:48:00
6015,12434,2015-10-12 22:48:00,2015-10-21 06:48:00
702,11249,2011-07-07 09:24:00,2011-07-08 10:12:00
6983,12650,2017-04-08 21:48:00,2017-04-17 11:12:00
5246,12292,2015-02-22 10:36:00,2015-03-03 19:00:00
851,11291,2011-09-08 18:00:00,2011-09-17 12:36:00
1183,11376,2011-12-11 08:24:00,2011-12-19 17:48:00
6820,12604,2016-10-25 21:24:00,2016-10-26 23:12:00
6613,12553,2016-06-09 18:00:00,2016-06-18 12:24:00
892,11302,2011-09-21 12:36:00,2011-10-01 00:24:00
1168,11374,2011-12-07 10:48:00,2011-12-15 19:00:00
3019,11807,2013-07-28 10:24:00,2013-07-29 06:12:00
3031,11810,2013-07-31 01:24:00,2013-08-08 11:36:00
5326,12299,2015-03-11 14:12:00,2015-03-12 13:12:00
676,11239,2011-06-18 08:48:00,2011-06-27 21:00:00
662,11235,2011-06-09 09:00:00,2011-06-17 16:48:00
104,11092,2010-07-27 19:36:00,2010-08-05 03:36:00
1632,11474,2012-05-01 17:12:00,2012-05-11 03:36:00
5865,12400,2015-08-09 10:48:00,2015-08-17 19:48:00
2878,11777,2013-06-19 16:12:00,2013-06-28 00:12:00
5118,12273,2015-01-25 17:48:00,2015-01-26 13:36:00
2677,11733,2013-04-20 02:12:00,2013-04-29 04:00:00
2663,11723,2013-04-13 04:12:00,2013-04-21 18:00:00
2887,11778,2013-06-22 05:12:00,2013-06-30 13:00:00
1425,11427,2012-02-24 23:24:00,2012-03-05 07:12:00
6404,12515,2016-03-02 13:24:00,2016-03-03 13:12:00
2110,11587,2012-10-09 02:24:00,2012-10-09 22:36:00
2460,11670,2013-02-05 21:00:00,2013-02-14 05:36:00
2306,11634,2012-12-14 06:48:00,2012-12-22 15:12:00
878,11301,2011-09-17 22:36:00,2011-09-27 00:00:00
4978,12248,2014-12-21 23:00:00,2014-12-30 09:12:00
850,11290,2011-09-08 13:24:00,2011-09-17 06:00:00
1021,11334,2011-10-29 23:12:00,2011-11-07 07:00:00
6982,12648,2017-04-01 08:24:00,2017-04-09 16:36:00
918,11309,2011-10-01 07:36:00,2011-10-09 21:12:00
273,11129,2010-11-27 10:24:00,2010-11-28 06:12:00
5051,12260,2015-01-08 10:24:00,2015-01-16 18:36:00
3420,11905,2013-11-22 15:24:00,2013-12-01 02:48:00
1237,11386,2011-12-22 18:36:00,2011-12-31 03:24:00
6558,12546,2016-05-13 19:36:00,2016-05-22 04:12:00
2716,11739,2013-05-02 23:36:00,2013-05-11 07:48:00
1596,11465,2012-04-19 14:48:00,2012-04-28 01:12:00
1582,11461,2012-04-16 12:12:00,2012-04-25 03:00:00
6206,12473,2015-12-21 05:00:00,2015-12-30 14:48:00
6789,12598,2016-10-01 18:12:00,2016-10-10 02:12:00
1970,11555,2012-08-24 15:12:00,2012-09-01 23:36:00
6986,12651,2017-04-17 19:24:00,2017-04-26 10:36:00
3154,11838,2013-09-04 18:24:00,2013-09-13 20:24:00
2504,11680,2013-02-24 16:24:00,2013-03-05 03:36:00
2262,11628,2012-12-04 11:36:00,2012-12-12 23:24:00
6010,12431,2015-10-10 06:36:00,2015-10-18 15:24:00
5492,12333,2015-04-21 12:36:00,2015-04-29 20:48:00
115,11093,2010-08-03 10:36:00,2010-08-11 18:36:00
7246,12703,2018-03-29 13:12:00,2018-04-06 23:12:00
667,11236,2011-06-13 12:48:00,2011-06-21 20:36:00
6164,12464,2015-12-04 18:00:00,2015-12-13 02:12:00
1390,11418,2012-02-09 01:12:00,2012-02-18 09:36:00
3587,11947,2014-01-05 13:24:00,2014-01-06 09:12:00
5848,12396,2015-08-03 01:48:00,2015-08-11 10:36:00
6399,12512,2016-03-01 00:24:00,2016-03-10 15:24:00
7050,12663,2017-06-14 16:48:00,2017-06-15 13:00:00
5653,12365,2015-06-05 05:24:00,2015-06-13 13:36:00
2672,11727,2013-04-19 01:24:00,2013-04-28 01:24:00
2666,11717,2013-04-16 08:48:00,2013-04-16 11:24:00
2673,11726,2013-04-19 04:24:00,2013-04-20 00:12:00
1391,11417,2012-02-09 04:00:00,2012-02-18 12:24:00
6398,12510,2016-02-29 21:48:00,2016-03-10 12:48:00
4000,12035,2014-04-10 23:00:00,2014-04-19 07:12:00
6617,12558,2016-06-11 16:48:00,2016-06-20 01:24:00
6171,12467,2015-12-08 18:36:00,2015-12-09 14:24:00
128,11097,2010-08-09 17:12:00,2010-08-18 01:48:00
114,11095,2010-08-03 05:48:00,2010-08-11 13:48:00
4969,12245,2014-12-20 01:36:00,2014-12-28 11:48:00
4955,12249,2014-12-17 09:24:00,2014-12-25 19:24:00
6824,12605,2016-10-29 20:48:00,2016-11-07 09:24:00
3784,11987,2014-02-21 04:36:00,2014-03-01 20:24:00
869,11297,2011-09-13 16:48:00,2011-09-14 14:12:00
4941,12241,2014-12-12 21:00:00,2014-12-21 07:00:00
6777,12593,2016-09-25 17:48:00,2016-09-25 19:36:00
2511,11683,2013-02-27 05:48:00,2013-03-07 22:36:00
1756,11506,2012-06-09 04:36:00,2012-06-18 12:24:00
1959,11553,2012-08-22 05:12:00,2012-08-30 13:24:00
909,11307,2011-09-28 03:12:00,2011-10-07 11:00:00
1795,11512,2012-06-22 21:12:00,2012-07-01 05:36:00
2061,11580,2012-09-24 11:48:00,2012-10-03 04:36:00
538,11200,2011-04-25 13:24:00,2011-05-04 00:00:00
4376,12120,2014-07-18 15:24:00,2014-07-19 11:12:00
7131,12680,2017-09-09 10:12:00,2017-09-17 18:12:00
5054,12261,2015-01-08 20:48:00,2015-01-17 05:00:00
504,11193,2011-04-11 21:48:00,2011-04-20 21:00:00
5083,12263,2015-01-15 04:48:00,2015-01-16 00:36:00
2920,11785,2013-07-01 06:00:00,2013-07-09 14:00:00
2922,11784,2013-07-01 10:36:00,2013-07-09 18:36:00
274,11130,2010-11-27 15:12:00,2010-11-28 11:00:00
2739,11745,2013-05-10 06:36:00,2013-05-18 15:00:00
3341,11890,2013-11-01 23:12:00,2013-11-10 08:36:00
5718,12373,2015-06-27 11:00:00,2015-07-06 00:48:00
6205,12472,2015-12-21 03:48:00,2015-12-30 13:48:00
6952,12638,2017-02-19 03:36:00,2017-02-28 15:00:00
3194,11846,2013-09-17 05:36:00,2013-09-26 04:48:00
6946,12634,2017-02-05 12:24:00,2017-02-13 22:12:00
1026,11338,2011-10-31 16:12:00,2011-11-09 00:00:00
3631,11955,2014-01-14 07:12:00,2014-01-22 21:12:00
5526,12335,2015-04-30 04:36:00,2015-05-08 14:48:00
4610,12177,2014-09-25 08:36:00,2014-10-03 17:24:00
843,11287,2011-09-02 19:00:00,2011-09-11 03:00:00
1807,11515,2012-06-26 04:00:00,2012-07-04 12:36:00
1634,11475,2012-05-02 08:00:00,2012-05-11 17:12:00
116,11096,2010-08-03 12:48:00,2010-08-12 09:36:00
7251,12706,2018-04-18 22:36:00,2018-04-27 10:12:00
2329,11639,2012-12-26 09:00:00,2013-01-03 17:24:00
5446,12322,2015-04-10 12:48:00,2015-04-19 03:00:00
3779,11986,2014-02-18 23:24:00,2014-02-27 10:24:00
6167,12465,2015-12-06 07:00:00,2015-12-14 15:12:00
4764,12203,2014-10-30 12:36:00,2014-11-07 20:48:00
6615,12554,2016-06-11 01:24:00,2016-06-11 21:12:00
6359,12501,2016-02-14 07:36:00,2016-02-23 00:48:00
466,11184,2011-03-30 11:00:00,2011-04-08 07:48:00
1350,11410,2012-01-26 03:00:00,2012-02-03 11:48:00
5644,12362,2015-06-03 02:24:00,2015-06-11 11:00:00
1422,11423,2012-02-22 20:24:00,2012-03-05 04:12:00
6403,12513,2016-03-02 10:00:00,2016-03-11 21:12:00
2117,11593,2012-10-16 16:36:00,2012-10-26 06:48:00
5692,12371,2015-06-15 14:36:00,2015-06-23 23:00:00
6172,12468,2015-12-09 10:36:00,2015-12-17 20:12:00
2314,11635,2012-12-18 01:48:00,2012-12-26 10:00:00
5447,12321,2015-04-10 14:36:00,2015-04-19 04:48:00
1621,11471,2012-04-27 10:48:00,2012-05-06 20:00:00
3022,11808,2013-07-29 03:24:00,2013-08-06 12:12:00
4995,12250,2014-12-25 05:36:00,2014-12-26 01:24:00
1806,11513,2012-06-25 21:24:00,2012-07-04 06:00:00
856,11295,2011-09-11 13:48:00,2011-09-20 12:36:00
