intensity,category
-11.928440908931893,C
-12.267948049248261,C
-13.17365667179188,C
-12.621588089491839,C
-13.227723893062155,C
-13.633189001170319,C
-12.716898269296165,C
-13.122363377404328,C
-12.621588089491839,C
-10.414313176302118,M
-13.284882306902103,C
-12.206072645530174,C
-7.621105166859602,X
-12.311433161188,C
-12.07504438312377,C
-12.716898269296165,C
-13.122363377404328,C
-13.41004544985611,C
-13.122363377404328,C
-13.073573213234896,C
-12.684108446473173,C
-13.227723893062155,C
-12.380426032674952,C
-11.417615285165903,M
-12.684108446473173,C
-11.652187532303737,C
-12.89921982609012,C
-12.89921982609012,C
-11.417615285165903,M
-11.699255043161722,C
-12.822258784953991,C
-12.24689464005043,C
-12.785891140783116,C
-13.345506928718539,C
-13.815510557964274,C
-13.345506928718539,C
-13.122363377404328,C
-12.716898269296165,C
-11.943708381062683,C
-12.24689464005043,C
-13.073573213234896,C
-13.553146293496782,C
-11.512925464970229,M
-11.774290229104636,C
-13.345506928718539,C
-11.512925464970229,M
-12.166851932376892,C
-11.417615285165903,M
-13.027053197600004,C
-12.454534004828673,C
-12.785891140783116,C
-12.09274396022317,C
-12.562747589468906,C
-11.176453228349015,M
-10.26016249647486,M
-11.543384672454938,C
-11.88398914636106,C
-11.841429531942264,C
-10.596634733096073,M
-12.147803737406198,C
-9.282911064811017,M
-13.284882306902103,C
-12.267948049248261,C
-13.633189001170319,C
-12.007221786785008,C
-13.027053197600004,C
-13.284882306902103,C
-13.227723893062155,C
-12.267948049248261,C
-12.267948049248261,C
-13.284882306902103,C
-11.52297580082373,C
-13.633189001170319,C
-12.380426032674952,C
-13.345506928718539,C
-12.621588089491839,C
-13.027053197600004,C
-12.684108446473173,C
-10.982297213908058,M
-12.822258784953991,C
-12.750799820971846,C
-13.633189001170319,C
-12.822258784953991,C
-11.417615285165903,M
-12.684108446473173,C
-12.206072645530174,C
-13.122363377404328,C
-13.17365667179188,C
-13.72020037815995,C
-13.72020037815995,C
-12.24689464005043,C
-12.98260143502917,C
-10.819778284410283,M
-13.815510557964274,C
-13.479038321343062,C
-13.073573213234896,C
-13.479038321343062,C
-13.284882306902103,C
-13.41004544985611,C
-13.815510557964274,C
-12.621588089491839,C
-13.72020037815995,C
-9.210340371976182,X
-10.770988120240851,M
-12.621588089491839,C
-11.176453228349015,M
-12.53457671250221,C
-12.562747589468906,C
-12.652359748158593,C
-13.633189001170319,C
-9.641123288068638,M
-13.633189001170319,C
-13.815510557964274,C
-12.53457671250221,C
-11.699255043161722,C
-13.284882306902103,C
-13.815510557964274,C
-12.716898269296165,C
-13.345506928718539,C
-11.80060753742201,C
-13.284882306902103,C
-12.89921982609012,C
-13.72020037815995,C
-12.621588089491839,C
-13.227723893062155,C
-13.835713265281793,B
-13.815510557964274,C
